bridge_rule,slr_ft,metric,value,unit,universe,population_count_type,reference_value,delta,record_type,baseline_status,scenario_status,block_count,population
intersect,3,new_inundated_blocks,1124.0,blocks,all_blocks,not_applicable,,,headline,,,,
intersect,3,new_inundated_population,86305.0,persons,all_blocks,person_scenario,,,headline,,,,
intersect,3,new_inundated_population,86305.0,persons,all_blocks,unique_person,,,headline,,,,
intersect,4,new_fragile_blocks,783.0,blocks,all_blocks,not_applicable,,,headline,,,,
intersect,4,new_fragile_population,54298.0,persons,all_blocks,person_scenario,,,headline,,,,
intersect,4,new_fragile_population,54298.0,persons,all_blocks,unique_person,,,headline,,,,
intersect,4,new_isolated_blocks,2051.0,blocks,all_blocks,not_applicable,,,headline,,,,
intersect,4,new_isolated_population,237017.0,persons,all_blocks,person_scenario,,,headline,,,,
intersect,4,new_isolated_population,237017.0,persons,all_blocks,unique_person,,,headline,,,,
intersect,4,new_inundated_blocks,2823.0,blocks,all_blocks,not_applicable,,,headline,,,,
intersect,4,new_inundated_population,251397.0,persons,all_blocks,person_scenario,,,headline,,,,
intersect,4,new_inundated_population,251397.0,persons,all_blocks,unique_person,,,headline,,,,
intersect,5,new_fragile_blocks,1366.0,blocks,all_blocks,not_applicable,,,headline,,,,
intersect,5,new_fragile_population,87930.0,persons,all_blocks,person_scenario,,,headline,,,,
intersect,5,new_fragile_population,87930.0,persons,all_blocks,unique_person,,,headline,,,,
intersect,5,new_isolated_blocks,3632.0,blocks,all_blocks,not_applicable,,,headline,,,,
intersect,5,new_isolated_population,356087.0,persons,all_blocks,person_scenario,,,headline,,,,
intersect,5,new_isolated_population,356087.0,persons,all_blocks,unique_person,,,headline,,,,
intersect,5,new_inundated_blocks,6400.0,blocks,all_blocks,not_applicable,,,headline,,,,
intersect,5,new_inundated_population,575301.0,persons,all_blocks,person_scenario,,,headline,,,,
intersect,5,new_inundated_population,575301.0,persons,all_blocks,unique_person,,,headline,,,,
intersect,6,new_fragile_blocks,1326.0,blocks,all_blocks,not_applicable,,,headline,,,,
intersect,6,new_fragile_population,88320.0,persons,all_blocks,person_scenario,,,headline,,,,
intersect,6,new_fragile_population,88320.0,persons,all_blocks,unique_person,,,headline,,,,
intersect,6,new_isolated_blocks,6871.0,blocks,all_blocks,not_applicable,,,headline,,,,
intersect,6,new_isolated_population,651276.0,persons,all_blocks,person_scenario,,,headline,,,,
intersect,6,new_isolated_population,651276.0,persons,all_blocks,unique_person,,,headline,,,,
intersect,6,new_inundated_blocks,13551.0,blocks,all_blocks,not_applicable,,,headline,,,,
intersect,6,new_inundated_population,1328770.0,persons,all_blocks,person_scenario,,,headline,,,,
intersect,6,new_inundated_population,1328770.0,persons,all_blocks,unique_person,,,headline,,,,
intersect,1,cumulative_newly_affected_population,5349.0,persons,all_blocks,person_scenario,,,headline,,,,
intersect,1,cumulative_newly_affected_population,5349.0,persons,all_blocks,unique_person,,,headline,,,,
intersect,2,cumulative_newly_affected_population,63689.0,persons,all_blocks,person_scenario,,,headline,,,,
intersect,2,cumulative_newly_affected_population,58340.0,persons,all_blocks,unique_person,,,headline,,,,
intersect,3,cumulative_newly_affected_population,340339.0,persons,all_blocks,person_scenario,,,headline,,,,
intersect,3,cumulative_newly_affected_population,276650.0,persons,all_blocks,unique_person,,,headline,,,,
intersect,4,cumulative_newly_affected_population,883051.0,persons,all_blocks,person_scenario,,,headline,,,,
intersect,4,cumulative_newly_affected_population,542712.0,persons,all_blocks,unique_person,,,headline,,,,
intersect,5,cumulative_newly_affected_population,1902369.0,persons,all_blocks,person_scenario,,,headline,,,,
intersect,5,cumulative_newly_affected_population,1019318.0,persons,all_blocks,unique_person,,,headline,,,,
intersect,6,cumulative_newly_affected_population,3970735.0,persons,all_blocks,person_scenario,660000.0,3310735.0,headline,,,,
intersect,6,cumulative_newly_affected_population,2068366.0,persons,all_blocks,unique_person,660000.0,1408366.0,headline,,,,
intersect,0,baseline_status_redundant_blocks,40112.0,blocks,analysis_universe,not_applicable,,,headline,,,,
intersect,0,baseline_status_redundant_population,3683312.0,persons,analysis_universe,person_scenario,,,headline,,,,
intersect,0,baseline_status_redundant_population,3683312.0,persons,analysis_universe,unique_person,,,headline,,,,
intersect,0,baseline_status_fragile_blocks,14801.0,blocks,analysis_universe,not_applicable,,,headline,,,,
intersect,0,baseline_status_fragile_population,2391791.0,persons,analysis_universe,person_scenario,,,headline,,,,
intersect,0,baseline_status_fragile_population,2391791.0,persons,analysis_universe,unique_person,,,headline,,,,
intersect,0,baseline_status_isolated_blocks,375.0,blocks,analysis_universe,not_applicable,,,headline,,,,
intersect,0,baseline_status_isolated_population,40532.0,persons,analysis_universe,person_scenario,,,headline,,,,
intersect,0,baseline_status_isolated_population,40532.0,persons,analysis_universe,unique_person,,,headline,,,,
intersect,0,baseline_status_inundated_blocks,93.0,blocks,analysis_universe,not_applicable,,,headline,,,,
intersect,0,baseline_status_inundated_population,20053.0,persons,analysis_universe,person_scenario,,,headline,,,,
intersect,0,baseline_status_inundated_population,20053.0,persons,analysis_universe,unique_person,,,headline,,,,
intersect,0,baseline_status_unclassified_blocks,0.0,blocks,analysis_universe,not_applicable,,,headline,,,,
intersect,0,baseline_status_unclassified_population,0.0,persons,analysis_universe,person_scenario,,,headline,,,,
intersect,0,baseline_status_unclassified_population,0.0,persons,analysis_universe,unique_person,,,headline,,,,
intersect,0,baseline_fragile_share,0.2672577237680793,share,analysis_universe,not_applicable,0.247,0.020257723768079328,headline,,,,
intersect,0,new_fragile_blocks,0.0,blocks,analysis_universe,not_applicable,,,headline,,,,
intersect,0,new_fragile_population,0.0,persons,analysis_universe,person_scenario,,,headline,,,,
intersect,0,new_fragile_population,0.0,persons,analysis_universe,unique_person,,,headline,,,,
intersect,0,new_isolated_blocks,0.0,blocks,analysis_universe,not_applicable,,,headline,,,,
intersect,0,new_isolated_population,0.0,persons,analysis_universe,person_scenario,,,headline,,,,
intersect,0,new_isolated_population,0.0,persons,analysis_universe,unique_person,,,headline,,,,
intersect,0,new_inundated_blocks,0.0,blocks,analysis_universe,not_applicable,,,headline,,,,
intersect,0,new_inundated_population,0.0,persons,analysis_universe,person_scenario,,,headline,,,,
intersect,0,new_inundated_population,0.0,persons,analysis_universe,unique_person,,,headline,,,,
intersect,1,new_fragile_blocks,5.0,blocks,analysis_universe,not_applicable,,,headline,,,,
intersect,1,new_fragile_population,150.0,persons,analysis_universe,person_scenario,,,headline,,,,
intersect,1,new_fragile_population,150.0,persons,analysis_universe,unique_person,,,headline,,,,
intersect,1,new_isolated_blocks,11.0,blocks,analysis_universe,not_applicable,,,headline,,,,
intersect,1,new_isolated_population,346.0,persons,analysis_universe,person_scenario,,,headline,,,,
intersect,1,new_isolated_population,346.0,persons,analysis_universe,unique_person,,,headline,,,,
intersect,1,new_inundated_blocks,27.0,blocks,analysis_universe,not_applicable,,,headline,,,,
