record_type,bridge_rule,slr_ft,category,segment_count,length_m,length_km,parent_way_count,structure_count,inventory_segment_count,inventory_length_m,inventory_length_km,intersecting_segment_count,reference_value,delta,current_value
removed_segments,intersect,0,all_segments,1478,77427.7005849783,77.4277005849783,982,469,1856748,54224269.08161901,54224.26908161901,1478,,,
removed_segments,intersect,0,bridge_tag_present,1041,56164.26738869627,56.164267388696274,655,464,9770,332937.214232835,332.937214232835,1478,,,
removed_segments,intersect,0,nonzero_layer,954,53937.69096856195,53.937690968561945,577,389,11665,378335.64843139844,378.33564843139845,1478,,,
removed_segments,intersect,0,nonzero_layer_no_bridge_tag,9,1393.9125675641887,1.3939125675641888,5,5,2400,60435.32082649976,60.43532082649976,1478,,,
removed_segments,intersect,0,neither_bridge_nor_nonzero_layer,428,19869.52062871785,19.86952062871785,322,0,1844578,53830896.54655968,53830.89654655968,1478,,,
removed_segments,intersect,0,movable_tag,93,3853.0709058212656,3.8530709058212658,83,83,95,3877.2385940980303,3.87723859409803,1478,,,
removed_segments,intersect,0,negative_layer,9,1393.9125675641887,1.3939125675641888,5,5,1436,26458.415709483466,26.458415709483468,1478,,,
removed_segments,intersect,0,positive_gate_classification_mismatch,10,1428.9595412113322,1.4289595412113323,6,6,1437,26493.46268313061,26.49346268313061,1478,,,
removed_segments,intersect,1,all_segments,1872,97135.2881794227,97.1352881794227,1135,487,1856748,54224269.08161901,54224.26908161901,1872,,,
removed_segments,intersect,1,bridge_tag_present,1074,57049.910657385335,57.04991065738533,678,482,9770,332937.214232835,332.937214232835,1872,,,
removed_segments,intersect,1,nonzero_layer,987,54823.33423725101,54.82333423725101,600,407,11665,378335.64843139844,378.33564843139845,1872,,,
removed_segments,intersect,1,nonzero_layer_no_bridge_tag,9,1393.9125675641887,1.3939125675641888,5,5,2400,60435.32082649976,60.43532082649976,1872,,,
removed_segments,intersect,1,neither_bridge_nor_nonzero_layer,789,38691.464954473166,38.69146495447317,452,0,1844578,53830896.54655968,53830.89654655968,1872,,,
removed_segments,intersect,1,movable_tag,93,3853.0709058212656,3.8530709058212658,83,83,95,3877.2385940980303,3.87723859409803,1872,,,
removed_segments,intersect,1,negative_layer,9,1393.9125675641887,1.3939125675641888,5,5,1436,26458.415709483466,26.458415709483468,1872,,,
removed_segments,intersect,1,positive_gate_classification_mismatch,10,1428.9595412113322,1.4289595412113323,6,6,1437,26493.46268313061,26.49346268313061,1872,,,
removed_segments,approach,0,all_segments,1232,38739.20753140913,38.73920753140913,632,239,1856748,54224269.08161901,54224.26908161901,1478,,,
removed_segments,approach,0,bridge_tag_present,329,9442.352042288925,9.442352042288926,184,165,9770,332937.214232835,332.937214232835,1478,,,
removed_segments,approach,0,nonzero_layer,757,17656.89041273266,17.65689041273266,275,204,11665,378335.64843139844,378.33564843139845,1478,,,
removed_segments,approach,0,nonzero_layer_no_bridge_tag,475,9427.334860402349,9.427334860402349,126,76,2400,60435.32082649976,60.43532082649976,1478,,,
removed_segments,approach,0,neither_bridge_nor_nonzero_layer,428,19869.52062871785,19.86952062871785,322,0,1844578,53830896.54655968,53830.89654655968,1478,,,
removed_segments,approach,0,movable_tag,10,493.4765635893425,0.4934765635893425,6,6,95,3877.2385940980303,3.87723859409803,1478,,,
removed_segments,approach,0,negative_layer,144,2094.2704356668355,2.0942704356668354,45,39,1436,26458.415709483466,26.458415709483468,1478,,,
removed_segments,approach,0,positive_gate_classification_mismatch,144,2094.2704356668355,2.0942704356668354,45,39,1437,26493.46268313061,26.49346268313061,1478,,,
removed_segments,approach,1,all_segments,1596,57667.08515068626,57.66708515068626,765,242,1856748,54224269.08161901,54224.26908161901,1872,,,
removed_segments,approach,1,bridge_tag_present,332,9548.28533581074,9.548285335810741,187,168,9770,332937.214232835,332.937214232835,1872,,,
removed_segments,approach,1,nonzero_layer,758,17705.82387523912,17.70582387523912,276,205,11665,378335.64843139844,378.33564843139845,1872,,,
removed_segments,approach,1,nonzero_layer_no_bridge_tag,475,9427.334860402349,9.427334860402349,126,76,2400,60435.32082649976,60.43532082649976,1872,,,
removed_segments,approach,1,neither_bridge_nor_nonzero_layer,789,38691.464954473166,38.69146495447317,452,0,1844578,53830896.54655968,53830.89654655968,1872,,,
removed_segments,approach,1,movable_tag,10,493.4765635893425,0.4934765635893425,6,6,95,3877.2385940980303,3.87723859409803,1872,,,
