bridge_rule,slr_ft,metric,value,unit,universe,population_count_type,reference_value,delta
intersect,3,cumulative_newly_affected_population,276650.0,persons,all_blocks,unique_person,,
intersect,4,cumulative_newly_affected_population,883051.0,persons,all_blocks,person_scenario,,
intersect,4,cumulative_newly_affected_population,542712.0,persons,all_blocks,unique_person,,
intersect,5,cumulative_newly_affected_population,1902369.0,persons,all_blocks,person_scenario,,
intersect,5,cumulative_newly_affected_population,1019318.0,persons,all_blocks,unique_person,,
intersect,6,cumulative_newly_affected_population,3970735.0,persons,all_blocks,person_scenario,660000.0,3310735.0
intersect,6,cumulative_newly_affected_population,2068366.0,persons,all_blocks,unique_person,660000.0,1408366.0
intersect,0,baseline_status_redundant_blocks,40112.0,blocks,analysis_universe,not_applicable,,
intersect,0,baseline_status_redundant_population,3683312.0,persons,analysis_universe,person_scenario,,
intersect,0,baseline_status_redundant_population,3683312.0,persons,analysis_universe,unique_person,,
intersect,0,baseline_status_fragile_blocks,14801.0,blocks,analysis_universe,not_applicable,,
intersect,0,baseline_status_fragile_population,2391791.0,persons,analysis_universe,person_scenario,,
intersect,0,baseline_status_fragile_population,2391791.0,persons,analysis_universe,unique_person,,
intersect,0,baseline_status_isolated_blocks,375.0,blocks,analysis_universe,not_applicable,,
intersect,0,baseline_status_isolated_population,40532.0,persons,analysis_universe,person_scenario,,
intersect,0,baseline_status_isolated_population,40532.0,persons,analysis_universe,unique_person,,
intersect,0,baseline_status_inundated_blocks,93.0,blocks,analysis_universe,not_applicable,,
intersect,0,baseline_status_inundated_population,20053.0,persons,analysis_universe,person_scenario,,
intersect,0,baseline_status_inundated_population,20053.0,persons,analysis_universe,unique_person,,
intersect,0,baseline_status_unclassified_blocks,0.0,blocks,analysis_universe,not_applicable,,
intersect,0,baseline_status_unclassified_population,0.0,persons,analysis_universe,person_scenario,,
intersect,0,baseline_status_unclassified_population,0.0,persons,analysis_universe,unique_person,,
intersect,0,baseline_fragile_share,0.2672577237680793,share,analysis_universe,not_applicable,0.247,0.020257723768079328
intersect,0,new_fragile_blocks,0.0,blocks,analysis_universe,not_applicable,,
intersect,0,new_fragile_population,0.0,persons,analysis_universe,person_scenario,,
