comparison_scope,old_source_path,new_source_path,old_source_sha256,new_source_sha256,old_universe,new_universe,bootstrap_comparison_note,significance_smoke_only,transition,term,estimate_old,estimate_new,delta_new_minus_old,absolute_change,relative_change_signed_vs_abs_old,relative_change_abs_vs_abs_old,relative_change_signed_percent,relative_change_abs_percent,sign_old,sign_new,sign_flip_flag,std.error_old,std.error_new,p.value_old,p.value_new,p_lt_0_05_old,p_lt_0_05_new_smoke,significance_change_flag_smoke_only,significance_change_direction_smoke_only,conf.low_old,conf.high_old,conf.low_new,conf.high_new,n_boot_old,n_boot_new,n_boot_fail_old,n_boot_fail_new
combined_legacy_untagged_all_blocks_to_canonical_approach_analysis_eligible,outputs/tables/ame_bootstrap_results.xlsx,outputs/tables/ame_bootstrap_results_approach.xlsx,341b8be12d029f82bc01c1db0dd34a8715af86b3ed53963ace6f0c7b9827b3c3,1e64e1550f0d90e17107fbab7163de2f41ff3b8f6873309986d5839ef6da9d1e,legacy_untagged_all_70695_blocks,canonical_approach_analysis_eligible_68521_blocks,smoke_only_significance_old_199_reps_vs_new_5_reps,True,Redundant -> Isolated,z_pct_hispanic,-0.0151409443401805,-0.017284508534457701,-0.0021435641942772008,0.0021435641942772008,-0.14157400926365513,0.14157400926365513,-14.157400926365513,14.157400926365513,negative,negative,False,0.0024855007073961198,0.0015258138993847099,1.11712370731228e-09,9.5294016898197603e-30,True,True,False,unchanged,-0.021936810369691199,-0.0111225781643729,-0.019553182648406001,-0.0161247315928786,199,5,0,0
combined_legacy_untagged_all_blocks_to_canonical_approach_analysis_eligible,outputs/tables/ame_bootstrap_results.xlsx,outputs/tables/ame_bootstrap_results_approach.xlsx,341b8be12d029f82bc01c1db0dd34a8715af86b3ed53963ace6f0c7b9827b3c3,1e64e1550f0d90e17107fbab7163de2f41ff3b8f6873309986d5839ef6da9d1e,legacy_untagged_all_70695_blocks,canonical_approach_analysis_eligible_68521_blocks,smoke_only_significance_old_199_reps_vs_new_5_reps,True,Redundant -> Isolated,z_renter_share,0.0094175773833393792,0.0104491832013978,0.001031605818058421,0.001031605818058421,0.10954046630754882,0.10954046630754882,10.954046630754883,10.954046630754883,positive,positive,False,0.0017698322620920701,0.00170889143545993,1.0310230481088501e-07,9.6801006727848392e-10,True,True,False,unchanged,0.0068255726232830504,0.0134311039059751,0.0087056761736941397,0.012716441818980601,199,5,0,0
combined_legacy_untagged_all_blocks_to_canonical_approach_analysis_eligible,outputs/tables/ame_bootstrap_results.xlsx,outputs/tables/ame_bootstrap_results_approach.xlsx,341b8be12d029f82bc01c1db0dd34a8715af86b3ed53963ace6f0c7b9827b3c3,1e64e1550f0d90e17107fbab7163de2f41ff3b8f6873309986d5839ef6da9d1e,legacy_untagged_all_70695_blocks,canonical_approach_analysis_eligible_68521_blocks,smoke_only_significance_old_199_reps_vs_new_5_reps,True,Redundant -> Inundated,z_log_median_income,-0.00091476857183082699,0.0023168292108347601,0.003231597782665587,0.003231597782665587,3.5326943690225767,3.5326943690225767,353.26943690225767,353.26943690225767,negative,positive,True,0.0034621303118805998,0.0033911634812120702,0.79160939906554295,0.49448302128275801,False,False,False,unchanged,-0.0084298637595055601,0.0055416672960293496,-0.0022800811986705399,0.0054836000369134098,199,5,0,0
combined_legacy_untagged_all_blocks_to_canonical_approach_analysis_eligible,outputs/tables/ame_bootstrap_results.xlsx,outputs/tables/ame_bootstrap_results_approach.xlsx,341b8be12d029f82bc01c1db0dd34a8715af86b3ed53963ace6f0c7b9827b3c3,1e64e1550f0d90e17107fbab7163de2f41ff3b8f6873309986d5839ef6da9d1e,legacy_untagged_all_70695_blocks,canonical_approach_analysis_eligible_68521_blocks,smoke_only_significance_old_199_reps_vs_new_5_reps,True,Redundant -> Inundated,z_no_vehicle_share,0.00052549088022684496,0.0021039999860906601,0.0015785091058638152,0.0015785091058638152,3.0038753578033575,3.0038753578033575,300.38753578033572,300.38753578033572,positive,positive,False,0.0025756615133910501,0.00135090154785743,0.83833652937529601,0.11935694415296599,False,False,False,unchanged,-0.0043918248506717404,0.0052117284546608503,-0.0022189656386193998,0.00119720150383866,199,5,0,0
combined_legacy_untagged_all_blocks_to_canonical_approach_analysis_eligible,outputs/tables/ame_bootstrap_results.xlsx,outputs/tables/ame_bootstrap_results_approach.xlsx,341b8be12d029f82bc01c1db0dd34a8715af86b3ed53963ace6f0c7b9827b3c3,1e64e1550f0d90e17107fbab7163de2f41ff3b8f6873309986d5839ef6da9d1e,legacy_untagged_all_70695_blocks,canonical_approach_analysis_eligible_68521_blocks,smoke_only_significance_old_199_reps_vs_new_5_reps,True,Redundant -> Inundated,z_pct_age_65plus,0.0077102909936958104,0.0098625748230597894,0.002152283829363979,0.002152283829363979,0.27914430611292851,0.27914430611292851,27.91443061129285,27.91443061129285,positive,positive,False,0.0036015546098979198,0.0013117637921329899,0.032288313354660897,5.5382813676446401e-14,True,True,False,unchanged,0.0010167781569701199,0.0145715140807224,0.0091757031136624895,0.012394451457349,199,5,0,0
combined_legacy_untagged_all_blocks_to_canonical_approach_analysis_eligible,outputs/tables/ame_bootstrap_results.xlsx,outputs/tables/ame_bootstrap_results_approach.xlsx,341b8be12d029f82bc01c1db0dd34a8715af86b3ed53963ace6f0c7b9827b3c3,1e64e1550f0d90e17107fbab7163de2f41ff3b8f6873309986d5839ef6da9d1e,legacy_untagged_all_70695_blocks,canonical_approach_analysis_eligible_68521_blocks,smoke_only_significance_old_199_reps_vs_new_5_reps,True,Redundant -> Inundated,z_pct_black_nh,-0.028233731857398199,-0.028849754385182402,-0.00061602252778420255,0.00061602252778420255,-0.021818671753900065,0.021818671753900065,-2.1818671753900065,2.1818671753900065,negative,negative,False,0.0034266680758470698,0.00316955822491761,1.73058284517338e-16,8.8571309716268897e-20,True,True,False,unchanged,-0.034085714966767301,-0.021350096132028502,-0.030140839302717,-0.0223216478397497,199,5,0,0
combined_legacy_untagged_all_blocks_to_canonical_approach_analysis_eligible,outputs/tables/ame_bootstrap_results.xlsx,outputs/tables/ame_bootstrap_results_approach.xlsx,341b8be12d029f82bc01c1db0dd34a8715af86b3ed53963ace6f0c7b9827b3c3,1e64e1550f0d90e17107fbab7163de2f41ff3b8f6873309986d5839ef6da9d1e,legacy_untagged_all_70695_blocks,canonical_approach_analysis_eligible_68521_blocks,smoke_only_significance_old_199_reps_vs_new_5_reps,True,Redundant -> Inundated,z_pct_hispanic,-0.033665344759536399,-0.034931598359708098,-0.001266253600171699,0.001266253600171699,-0.037612969931430949,0.037612969931430949,-3.7612969931430951,3.7612969931430951,negative,negative,False,0.0040800179713329698,0.00337252798291415,1.5671524020981201e-16,3.8617689861546001e-25,True,True,False,unchanged,-0.0409368003634984,-0.025805368696262199,-0.034896893333895403,-0.0281734724620527,199,5,0,0
combined_legacy_untagged_all_blocks_to_canonical_approach_analysis_eligible,outputs/tables/ame_bootstrap_results.xlsx,outputs/tables/ame_bootstrap_results_approach.xlsx,341b8be12d029f82bc01c1db0dd34a8715af86b3ed53963ace6f0c7b9827b3c3,1e64e1550f0d90e17107fbab7163de2f41ff3b8f6873309986d5839ef6da9d1e,legacy_untagged_all_70695_blocks,canonical_approach_analysis_eligible_68521_blocks,smoke_only_significance_old_199_reps_vs_new_5_reps,True,Redundant -> Inundated,z_renter_share,0.023134518384779999,0.024204412819986199,0.0010698944352061993,0.0010698944352061993,0.046246669907339569,0.046246669907339569,4.6246669907339566,4.6246669907339566,positive,positive,False,0.0031207992245652402,0.00381034615427362,1.2346381891572301e-13,2.1213688143697101e-10,True,True,False,unchanged,0.017211095819258601,0.029563060724193901,0.0182864097426901,0.027428902426613801,199,5,0,0
combined_legacy_untagged_all_blocks_to_canonical_approach_analysis_eligible,outputs/tables/ame_bootstrap_results.xlsx,outputs/tables/ame_bootstrap_results_approach.xlsx,341b8be12d029f82bc01c1db0dd34a8715af86b3ed53963ace6f0c7b9827b3c3,1e64e1550f0d90e17107fbab7163de2f41ff3b8f6873309986d5839ef6da9d1e,legacy_untagged_all_70695_blocks,canonical_approach_analysis_eligible_68521_blocks,smoke_only_significance_old_199_reps_vs_new_5_reps,True,Redundant -> Worse,z_log_median_income,0.00380932620214313,0.0090610973492306901,0.0052517711470875597,0.0052517711470875597,1.3786614399504324,1.3786614399504324,137.86614399504325,137.86614399504325,positive,positive,False,0.0054953607940658802,0.0042176263914036104,0.48819065940219297,0.0316829561653608,False,True,True,gained_at_p_lt_0_05,-0.0060356937359091504,0.0154922341432606,0.00107070820127441,0.010623583953038499,199,5,0,0
combined_legacy_untagged_all_blocks_to_canonical_approach_analysis_eligible,outputs/tables/ame_bootstrap_results.xlsx,outputs/tables/ame_bootstrap_results_approach.xlsx,341b8be12d029f82bc01c1db0dd34a8715af86b3ed53963ace6f0c7b9827b3c3,1e64e1550f0d90e17107fbab7163de2f41ff3b8f6873309986d5839ef6da9d1e,legacy_untagged_all_70695_blocks,canonical_approach_analysis_eligible_68521_blocks,smoke_only_significance_old_199_reps_vs_new_5_reps,True,Redundant -> Worse,z_no_vehicle_share,-0.0021366923005580801,0.00012648417842176801,0.002263176478979848,0.002263176478979848,1.0591962531941224,1.0591962531941224,105.91962531941223,105.91962531941223,negative,positive,True,0.0034094749446063298,0.0036848364987535202,0.53086083571000897,0.97261752085008502,False,False,False,unchanged,-0.0092590865164713498,0.0040525359679049501,-0.0023613203528550799,0.0065304617679618499,199,5,0,0
