landing_node_count_change_corrected_minus_legacy,structure_count,share_matched_structures,legacy_landing_count,corrected_landing_count,source_cache
0,3481,0.999712809,,,data/processed/access/cache/segmentized_edges_fe639d75a84cb809_full_v2.parquet
-5,1,0.000287191,7,2,data/processed/access/cache/segmentized_edges_fe639d75a84cb809_full_v2.parquet
