applies_to_arms,slr_ft,n_unclassified,n_county_matched_controls,unclassified_median_km,unclassified_q25_km,unclassified_q75_km,unclassified_within_5km_pct,control_median_km,control_within_5km_pct,rank_biserial_unclassified_farther,mann_whitney_p,unclassified_within_1km_pct,control_within_1km_pct,unclassified_within_10km_pct,control_within_10km_pct,distance_definition,distance_engine,geometry_handling,case_definition,control_definition,block_geometry_source,coastal_proxy_source
approach|intersect|retain,0,171,3420,31.668,16.784,58.775,14.620,4.240,54.942,0.6889,2.41e-52,9.357,22.719,20.468,76.988,distance_to_nearest_NOAA_0ft_inundation_polygon_EPSG32617,Shapely_2.1.2_STRtree_query_nearest,original_polygons_no_union_no_simplification,scenario_status_unclassified,20_to_1_within_county_SHA256(coast-control-v1:+block_geoid)_excluding_ever_unclassified,data/processed/census/blocks/fl_tricounty_blocks_2020.gpkg,data/raw/noaa/FL_SE_slr_final_dist.gpkg:FL_SE_slr_0_0ft
approach|intersect|retain,1,156,3120,35.759,20.358,62.315,6.410,4.152,55.160,0.8177,9.48e-67,,,,,distance_to_nearest_NOAA_0ft_inundation_polygon_EPSG32617,Shapely_2.1.2_STRtree_query_nearest,original_polygons_no_union_no_simplification,scenario_status_unclassified,20_to_1_within_county_SHA256(coast-control-v1:+block_geoid)_excluding_ever_unclassified,data/processed/census/blocks/fl_tricounty_blocks_2020.gpkg,data/raw/noaa/FL_SE_slr_final_dist.gpkg:FL_SE_slr_0_0ft
approach|intersect|retain,2,150,3000,37.657,21.965,63.346,3.333,4.123,55.400,0.8682,3.27e-72,,,,,distance_to_nearest_NOAA_0ft_inundation_polygon_EPSG32617,Shapely_2.1.2_STRtree_query_nearest,original_polygons_no_union_no_simplification,scenario_status_unclassified,20_to_1_within_county_SHA256(coast-control-v1:+block_geoid)_excluding_ever_unclassified,data/processed/census/blocks/fl_tricounty_blocks_2020.gpkg,data/raw/noaa/FL_SE_slr_final_dist.gpkg:FL_SE_slr_0_0ft
approach|intersect|retain,3,142,2840,38.897,24.180,64.523,1.408,4.056,55.880,0.9006,1.61e-73,,,,,distance_to_nearest_NOAA_0ft_inundation_polygon_EPSG32617,Shapely_2.1.2_STRtree_query_nearest,original_polygons_no_union_no_simplification,scenario_status_unclassified,20_to_1_within_county_SHA256(coast-control-v1:+block_geoid)_excluding_ever_unclassified,data/processed/census/blocks/fl_tricounty_blocks_2020.gpkg,data/raw/noaa/FL_SE_slr_final_dist.gpkg:FL_SE_slr_0_0ft
approach|intersect|retain,4,141,2820,38.949,24.200,64.703,0.709,4.056,55.922,0.9073,4.52e-74,,,,,distance_to_nearest_NOAA_0ft_inundation_polygon_EPSG32617,Shapely_2.1.2_STRtree_query_nearest,original_polygons_no_union_no_simplification,scenario_status_unclassified,20_to_1_within_county_SHA256(coast-control-v1:+block_geoid)_excluding_ever_unclassified,data/processed/census/blocks/fl_tricounty_blocks_2020.gpkg,data/raw/noaa/FL_SE_slr_final_dist.gpkg:FL_SE_slr_0_0ft
approach|intersect|retain,5,132,2640,40.689,27.249,67.985,0.758,4.019,56.136,0.9095,8.50e-70,,,,,distance_to_nearest_NOAA_0ft_inundation_polygon_EPSG32617,Shapely_2.1.2_STRtree_query_nearest,original_polygons_no_union_no_simplification,scenario_status_unclassified,20_to_1_within_county_SHA256(coast-control-v1:+block_geoid)_excluding_ever_unclassified,data/processed/census/blocks/fl_tricounty_blocks_2020.gpkg,data/raw/noaa/FL_SE_slr_final_dist.gpkg:FL_SE_slr_0_0ft
approach|intersect|retain,6,115,2300,47.848,31.253,69.139,0.870,3.849,56.913,0.9112,2.95e-61,0.870,25.826,4.348,77.565,distance_to_nearest_NOAA_0ft_inundation_polygon_EPSG32617,Shapely_2.1.2_STRtree_query_nearest,original_polygons_no_union_no_simplification,scenario_status_unclassified,20_to_1_within_county_SHA256(coast-control-v1:+block_geoid)_excluding_ever_unclassified,data/processed/census/blocks/fl_tricounty_blocks_2020.gpkg,data/raw/noaa/FL_SE_slr_final_dist.gpkg:FL_SE_slr_0_0ft
