transition,term,covariate,arm,estimate,sign,p.value,significant_p_lt_0_05,n_boot,n_boot_fail,sign_consistent_across_arms,significance_preserved_across_arms,any_sign_flip,any_significance_classification_difference,approach_estimate,approach_sign,approach_p_value,approach_significant,intersect_estimate,intersect_sign,intersect_p_value,intersect_significant,retain_estimate,retain_sign,retain_p_value,retain_significant,arm_vs_approach_sign_flip,arm_vs_approach_significance_change,approach_significance_lost_in_this_arm,approach_significance_gained_in_this_arm,arm_minus_approach_estimate,source_workbook
Redundant -> Inundated,z_renter_share,renter_share,approach,0.0242044128199862,positive,3.99356059847022e-25,True,49,0,True,True,False,False,0.0242044128199862,positive,3.99356059847022e-25,True,0.0229987346417775,positive,9.84714849737053e-19,True,0.0242044128199862,positive,3.99356059847022e-25,True,False,reference_approach,False,False,0,outputs/tables/ame_bootstrap_results_approach.xlsx
Redundant -> Inundated,z_renter_share,renter_share,retain,0.0242044128199862,positive,3.99356059847022e-25,True,49,0,True,True,False,False,0.0242044128199862,positive,3.99356059847022e-25,True,0.0229987346417775,positive,9.84714849737053e-19,True,0.0242044128199862,positive,3.99356059847022e-25,True,False,preserved_significant,False,False,0,outputs/tables/ame_bootstrap_results_retain.xlsx
Redundant -> Worse,z_log_median_income,log_median_income,intersect,0.00484924676073153,positive,0.33396976266733,False,49,0,True,True,False,False,0.00906109734923069,positive,0.0963577950755796,False,0.00484924676073153,positive,0.33396976266733,False,0.00906109734923069,positive,0.0963577950755796,False,False,preserved_not_significant,False,False,-0.00421185058849916,outputs/tables/ame_bootstrap_results_intersect.xlsx
Redundant -> Worse,z_log_median_income,log_median_income,approach,0.00906109734923069,positive,0.0963577950755796,False,49,0,True,True,False,False,0.00906109734923069,positive,0.0963577950755796,False,0.00484924676073153,positive,0.33396976266733,False,0.00906109734923069,positive,0.0963577950755796,False,False,reference_approach,False,False,0,outputs/tables/ame_bootstrap_results_approach.xlsx
Redundant -> Worse,z_log_median_income,log_median_income,retain,0.00906109734923069,positive,0.0963577950755796,False,49,0,True,True,False,False,0.00906109734923069,positive,0.0963577950755796,False,0.00484924676073153,positive,0.33396976266733,False,0.00906109734923069,positive,0.0963577950755796,False,False,preserved_not_significant,False,False,0,outputs/tables/ame_bootstrap_results_retain.xlsx
Redundant -> Worse,z_no_vehicle_share,no_vehicle_share,intersect,-0.00106949567113231,negative,0.766732989715045,False,49,0,False,True,True,False,0.000126484178421768,positive,0.978762760772665,False,-0.00106949567113231,negative,0.766732989715045,False,0.000126484178421768,positive,0.978762760772665,False,True,preserved_not_significant,False,False,-0.00119597984955408,outputs/tables/ame_bootstrap_results_intersect.xlsx
Redundant -> Worse,z_no_vehicle_share,no_vehicle_share,approach,0.000126484178421768,positive,0.978762760772665,False,49,0,False,True,True,False,0.000126484178421768,positive,0.978762760772665,False,-0.00106949567113231,negative,0.766732989715045,False,0.000126484178421768,positive,0.978762760772665,False,False,reference_approach,False,False,0,outputs/tables/ame_bootstrap_results_approach.xlsx
Redundant -> Worse,z_no_vehicle_share,no_vehicle_share,retain,0.000126484178421768,positive,0.978762760772665,False,49,0,False,True,True,False,0.000126484178421768,positive,0.978762760772665,False,-0.00106949567113231,negative,0.766732989715045,False,0.000126484178421768,positive,0.978762760772665,False,False,preserved_not_significant,False,False,0,outputs/tables/ame_bootstrap_results_retain.xlsx
Redundant -> Worse,z_pct_age_65plus,pct_age_65plus,intersect,0.0165165726156818,positive,0.00118639663941117,True,49,0,True,True,False,False,0.0223135358283244,positive,5.50769585354085e-05,True,0.0165165726156818,positive,0.00118639663941117,True,0.0223135358283244,positive,5.50769585354085e-05,True,False,preserved_significant,False,False,-0.0057969632126426,outputs/tables/ame_bootstrap_results_intersect.xlsx
Redundant -> Worse,z_pct_age_65plus,pct_age_65plus,approach,0.0223135358283244,positive,5.50769585354085e-05,True,49,0,True,True,False,False,0.0223135358283244,positive,5.50769585354085e-05,True,0.0165165726156818,positive,0.00118639663941117,True,0.0223135358283244,positive,5.50769585354085e-05,True,False,reference_approach,False,False,0,outputs/tables/ame_bootstrap_results_approach.xlsx
Redundant -> Worse,z_pct_age_65plus,pct_age_65plus,retain,0.0223135358283244,positive,5.50769585354085e-05,True,49,0,True,True,False,False,0.0223135358283244,positive,5.50769585354085e-05,True,0.0165165726156818,positive,0.00118639663941117,True,0.0223135358283244,positive,5.50769585354085e-05,True,False,preserved_significant,False,False,0,outputs/tables/ame_bootstrap_results_retain.xlsx
Redundant -> Worse,z_pct_black_nh,pct_black_nh,intersect,-0.0479195179557246,negative,6.93586121494932e-25,True,49,0,True,True,False,False,-0.0490366814132291,negative,1.68854258879365e-23,True,-0.0479195179557246,negative,6.93586121494932e-25,True,-0.0490366814132291,negative,1.68854258879365e-23,True,False,preserved_significant,False,False,0.0011171634575045,outputs/tables/ame_bootstrap_results_intersect.xlsx
Redundant -> Worse,z_pct_black_nh,pct_black_nh,approach,-0.0490366814132291,negative,1.68854258879365e-23,True,49,0,True,True,False,False,-0.0490366814132291,negative,1.68854258879365e-23,True,-0.0479195179557246,negative,6.93586121494932e-25,True,-0.0490366814132291,negative,1.68854258879365e-23,True,False,reference_approach,False,False,0,outputs/tables/ame_bootstrap_results_approach.xlsx
Redundant -> Worse,z_pct_black_nh,pct_black_nh,retain,-0.0490366814132291,negative,1.68854258879365e-23,True,49,0,True,True,False,False,-0.0490366814132291,negative,1.68854258879365e-23,True,-0.0479195179557246,negative,6.93586121494932e-25,True,-0.0490366814132291,negative,1.68854258879365e-23,True,False,preserved_significant,False,False,0,outputs/tables/ame_bootstrap_results_retain.xlsx
Redundant -> Worse,z_pct_hispanic,pct_hispanic,intersect,-0.0599893730627924,negative,9.19029455912165e-26,True,49,0,True,True,False,False,-0.0628045477509041,negative,1.67192892702215e-30,True,-0.0599893730627924,negative,9.19029455912165e-26,True,-0.0628045477509041,negative,1.67192892702215e-30,True,False,preserved_significant,False,False,0.0028151746881117,outputs/tables/ame_bootstrap_results_intersect.xlsx
Redundant -> Worse,z_pct_hispanic,pct_hispanic,approach,-0.0628045477509041,negative,1.67192892702215e-30,True,49,0,True,True,False,False,-0.0628045477509041,negative,1.67192892702215e-30,True,-0.0599893730627924,negative,9.19029455912165e-26,True,-0.0628045477509041,negative,1.67192892702215e-30,True,False,reference_approach,False,False,0,outputs/tables/ame_bootstrap_results_approach.xlsx
Redundant -> Worse,z_pct_hispanic,pct_hispanic,retain,-0.0628045477509041,negative,1.67192892702215e-30,True,49,0,True,True,False,False,-0.0628045477509041,negative,1.67192892702215e-30,True,-0.0599893730627924,negative,9.19029455912165e-26,True,-0.0628045477509041,negative,1.67192892702215e-30,True,False,preserved_significant,False,False,0,outputs/tables/ame_bootstrap_results_retain.xlsx
Redundant -> Worse,z_renter_share,renter_share,intersect,0.0404189513607396,positive,2.70574729063647e-28,True,49,0,True,True,False,False,0.0428952462862584,positive,2.11681318765906e-20,True,0.0404189513607396,positive,2.70574729063647e-28,True,0.0428952462862584,positive,2.11681318765906e-20,True,False,preserved_significant,False,False,-0.0024762949255188,outputs/tables/ame_bootstrap_results_intersect.xlsx
Redundant -> Worse,z_renter_share,renter_share,approach,0.0428952462862584,positive,2.11681318765906e-20,True,49,0,True,True,False,False,0.0428952462862584,positive,2.11681318765906e-20,True,0.0404189513607396,positive,2.70574729063647e-28,True,0.0428952462862584,positive,2.11681318765906e-20,True,False,reference_approach,False,False,0,outputs/tables/ame_bootstrap_results_approach.xlsx
Redundant -> Worse,z_renter_share,renter_share,retain,0.0428952462862584,positive,2.11681318765906e-20,True,49,0,True,True,False,False,0.0428952462862584,positive,2.11681318765906e-20,True,0.0404189513607396,positive,2.70574729063647e-28,True,0.0428952462862584,positive,2.11681318765906e-20,True,False,preserved_significant,False,False,0,outputs/tables/ame_bootstrap_results_retain.xlsx
Fragile -> Isolated,z_log_median_income,log_median_income,intersect,0.00777378169479977,positive,0.107177810653702,False,49,0,True,False,False,True,0.00846059229042843,positive,0.00927446644138081,True,0.00777378169479977,positive,0.107177810653702,False,0.00837398100831876,positive,0.00993538744525625,True,False,lost_in_intersect_vs_approach,True,False,-0.00068681059562866,outputs/tables/ame_bootstrap_results_intersect.xlsx
Fragile -> Isolated,z_log_median_income,log_median_income,approach,0.00846059229042843,positive,0.00927446644138081,True,49,0,True,False,False,True,0.00846059229042843,positive,0.00927446644138081,True,0.00777378169479977,positive,0.107177810653702,False,0.00837398100831876,positive,0.00993538744525625,True,False,reference_approach,False,False,0,outputs/tables/ame_bootstrap_results_approach.xlsx
Fragile -> Isolated,z_log_median_income,log_median_income,retain,0.00837398100831876,positive,0.00993538744525625,True,49,0,True,False,False,True,0.00846059229042843,positive,0.00927446644138081,True,0.00777378169479977,positive,0.107177810653702,False,0.00837398100831876,positive,0.00993538744525625,True,False,preserved_significant,False,False,-8.6611282109671e-05,outputs/tables/ame_bootstrap_results_retain.xlsx
Fragile -> Isolated,z_no_vehicle_share,no_vehicle_share,intersect,-0.00508976866268246,negative,0.00668931714866553,True,49,0,True,False,False,True,-0.00172636407818444,negative,0.349980049284346,False,-0.00508976866268246,negative,0.00668931714866553,True,-0.00169981310883989,negative,0.355769095159272,False,False,gained_in_intersect_vs_approach,False,True,-0.00336340458449802,outputs/tables/ame_bootstrap_results_intersect.xlsx
Fragile -> Isolated,z_no_vehicle_share,no_vehicle_share,approach,-0.00172636407818444,negative,0.349980049284346,False,49,0,True,False,False,True,-0.00172636407818444,negative,0.349980049284346,False,-0.00508976866268246,negative,0.00668931714866553,True,-0.00169981310883989,negative,0.355769095159272,False,False,reference_approach,False,False,0,outputs/tables/ame_bootstrap_results_approach.xlsx
Fragile -> Isolated,z_no_vehicle_share,no_vehicle_share,retain,-0.00169981310883989,negative,0.355769095159272,False,49,0,True,False,False,True,-0.00172636407818444,negative,0.349980049284346,False,-0.00508976866268246,negative,0.00668931714866553,True,-0.00169981310883989,negative,0.355769095159272,False,False,preserved_not_significant,False,False,2.65509693445501e-05,outputs/tables/ame_bootstrap_results_retain.xlsx
Fragile -> Isolated,z_pct_age_65plus,pct_age_65plus,intersect,0.0158037784982477,positive,0.00010916846636778,True,49,0,True,True,False,False,0.0109257089390214,positive,6.06493435612117e-05,True,0.0158037784982477,positive,0.00010916846636778,True,0.0107620080766772,positive,7.58654127295188e-05,True,False,preserved_significant,False,False,0.0048780695592263,outputs/tables/ame_bootstrap_results_intersect.xlsx
Fragile -> Isolated,z_pct_age_65plus,pct_age_65plus,approach,0.0109257089390214,positive,6.06493435612117e-05,True,49,0,True,True,False,False,0.0109257089390214,positive,6.06493435612117e-05,True,0.0158037784982477,positive,0.00010916846636778,True,0.0107620080766772,positive,7.58654127295188e-05,True,False,reference_approach,False,False,0,outputs/tables/ame_bootstrap_results_approach.xlsx
Fragile -> Isolated,z_pct_age_65plus,pct_age_65plus,retain,0.0107620080766772,positive,7.58654127295188e-05,True,49,0,True,True,False,False,0.0109257089390214,positive,6.06493435612117e-05,True,0.0158037784982477,positive,0.00010916846636778,True,0.0107620080766772,positive,7.58654127295188e-05,True,False,preserved_significant,False,False,-0.000163700862344201,outputs/tables/ame_bootstrap_results_retain.xlsx
Fragile -> Isolated,z_pct_black_nh,pct_black_nh,intersect,-0.0246331848714063,negative,1.94181640911754e-10,True,49,0,True,True,False,False,-0.0239655762011174,negative,3.27716714752991e-11,True,-0.0246331848714063,negative,1.94181640911754e-10,True,-0.0241952239310903,negative,3.08658869675658e-11,True,False,preserved_significant,False,False,-0.000667608670288901,outputs/tables/ame_bootstrap_results_intersect.xlsx
Fragile -> Isolated,z_pct_black_nh,pct_black_nh,approach,-0.0239655762011174,negative,3.27716714752991e-11,True,49,0,True,True,False,False,-0.0239655762011174,negative,3.27716714752991e-11,True,-0.0246331848714063,negative,1.94181640911754e-10,True,-0.0241952239310903,negative,3.08658869675658e-11,True,False,reference_approach,False,False,0,outputs/tables/ame_bootstrap_results_approach.xlsx
Fragile -> Isolated,z_pct_black_nh,pct_black_nh,retain,-0.0241952239310903,negative,3.08658869675658e-11,True,49,0,True,True,False,False,-0.0239655762011174,negative,3.27716714752991e-11,True,-0.0246331848714063,negative,1.94181640911754e-10,True,-0.0241952239310903,negative,3.08658869675658e-11,True,False,preserved_significant,False,False,-0.000229647729972901,outputs/tables/ame_bootstrap_results_retain.xlsx
Fragile -> Isolated,z_pct_hispanic,pct_hispanic,intersect,-0.0281841018820941,negative,1.81765813593284e-07,True,49,0,True,True,False,False,-0.0286863684128684,negative,3.46790021334142e-12,True,-0.0281841018820941,negative,1.81765813593284e-07,True,-0.029111075963486,negative,1.52637149464608e-12,True,False,preserved_significant,False,False,0.000502266530774301,outputs/tables/ame_bootstrap_results_intersect.xlsx
Fragile -> Isolated,z_pct_hispanic,pct_hispanic,approach,-0.0286863684128684,negative,3.46790021334142e-12,True,49,0,True,True,False,False,-0.0286863684128684,negative,3.46790021334142e-12,True,-0.0281841018820941,negative,1.81765813593284e-07,True,-0.029111075963486,negative,1.52637149464608e-12,True,False,reference_approach,False,False,0,outputs/tables/ame_bootstrap_results_approach.xlsx
Fragile -> Isolated,z_pct_hispanic,pct_hispanic,retain,-0.029111075963486,negative,1.52637149464608e-12,True,49,0,True,True,False,False,-0.0286863684128684,negative,3.46790021334142e-12,True,-0.0281841018820941,negative,1.81765813593284e-07,True,-0.029111075963486,negative,1.52637149464608e-12,True,False,preserved_significant,False,False,-0.0004247075506176,outputs/tables/ame_bootstrap_results_retain.xlsx
Fragile -> Isolated,z_renter_share,renter_share,intersect,0.0217679227931782,positive,1.34658589033457e-06,True,49,0,True,True,False,False,0.0173697388994499,positive,1.00455596931332e-11,True,0.0217679227931782,positive,1.34658589033457e-06,True,0.0173276133382448,positive,1.06306990960274e-11,True,False,preserved_significant,False,False,0.0043981838937283,outputs/tables/ame_bootstrap_results_intersect.xlsx
Fragile -> Isolated,z_renter_share,renter_share,approach,0.0173697388994499,positive,1.00455596931332e-11,True,49,0,True,True,False,False,0.0173697388994499,positive,1.00455596931332e-11,True,0.0217679227931782,positive,1.34658589033457e-06,True,0.0173276133382448,positive,1.06306990960274e-11,True,False,reference_approach,False,False,0,outputs/tables/ame_bootstrap_results_approach.xlsx
Fragile -> Isolated,z_renter_share,renter_share,retain,0.0173276133382448,positive,1.06306990960274e-11,True,49,0,True,True,False,False,0.0173697388994499,positive,1.00455596931332e-11,True,0.0217679227931782,positive,1.34658589033457e-06,True,0.0173276133382448,positive,1.06306990960274e-11,True,False,preserved_significant,False,False,-4.21255612051002e-05,outputs/tables/ame_bootstrap_results_retain.xlsx
Fragile -> Inundated,z_log_median_income,log_median_income,intersect,0.00505955320005135,positive,0.348441998765069,False,49,0,True,True,False,False,0.00735974585595936,positive,0.0790641027433782,False,0.00505955320005135,positive,0.348441998765069,False,0.00759232465611811,positive,0.0725324737221555,False,False,preserved_not_significant,False,False,-0.00230019265590801,outputs/tables/ame_bootstrap_results_intersect.xlsx
Fragile -> Inundated,z_log_median_income,log_median_income,approach,0.00735974585595936,positive,0.0790641027433782,False,49,0,True,True,False,False,0.00735974585595936,positive,0.0790641027433782,False,0.00505955320005135,positive,0.348441998765069,False,0.00759232465611811,positive,0.0725324737221555,False,False,reference_approach,False,False,0,outputs/tables/ame_bootstrap_results_approach.xlsx
Fragile -> Inundated,z_log_median_income,log_median_income,retain,0.00759232465611811,positive,0.0725324737221555,False,49,0,True,True,False,False,0.00735974585595936,positive,0.0790641027433782,False,0.00505955320005135,positive,0.348441998765069,False,0.00759232465611811,positive,0.0725324737221555,False,False,preserved_not_significant,False,False,0.00023257880015875,outputs/tables/ame_bootstrap_results_retain.xlsx
Fragile -> Inundated,z_no_vehicle_share,no_vehicle_share,intersect,-0.00159540267069711,negative,0.671966314208571,False,49,0,True,True,False,False,-0.00097143002595742,negative,0.793107878557127,False,-0.00159540267069711,negative,0.671966314208571,False,-0.00088699438224994,negative,0.810890412755062,False,False,preserved_not_significant,False,False,-0.00062397264473969,outputs/tables/ame_bootstrap_results_intersect.xlsx
Fragile -> Inundated,z_no_vehicle_share,no_vehicle_share,approach,-0.00097143002595742,negative,0.793107878557127,False,49,0,True,True,False,False,-0.00097143002595742,negative,0.793107878557127,False,-0.00159540267069711,negative,0.671966314208571,False,-0.00088699438224994,negative,0.810890412755062,False,False,reference_approach,False,False,0,outputs/tables/ame_bootstrap_results_approach.xlsx
Fragile -> Inundated,z_no_vehicle_share,no_vehicle_share,retain,-0.00088699438224994,negative,0.810890412755062,False,49,0,True,True,False,False,-0.00097143002595742,negative,0.793107878557127,False,-0.00159540267069711,negative,0.671966314208571,False,-0.00088699438224994,negative,0.810890412755062,False,False,preserved_not_significant,False,False,8.443564370748e-05,outputs/tables/ame_bootstrap_results_retain.xlsx
Fragile -> Inundated,z_pct_age_65plus,pct_age_65plus,intersect,0.0139726022223693,positive,0.00423421210556242,True,49,0,True,True,False,False,0.0119254732947933,positive,0.00220456204418566,True,0.0139726022223693,positive,0.00423421210556242,True,0.0119709036945148,positive,0.00233338776737888,True,False,preserved_significant,False,False,0.002047128927576,outputs/tables/ame_bootstrap_results_intersect.xlsx
Fragile -> Inundated,z_pct_age_65plus,pct_age_65plus,approach,0.0119254732947933,positive,0.00220456204418566,True,49,0,True,True,False,False,0.0119254732947933,positive,0.00220456204418566,True,0.0139726022223693,positive,0.00423421210556242,True,0.0119709036945148,positive,0.00233338776737888,True,False,reference_approach,False,False,0,outputs/tables/ame_bootstrap_results_approach.xlsx
Fragile -> Inundated,z_pct_age_65plus,pct_age_65plus,retain,0.0119709036945148,positive,0.00233338776737888,True,49,0,True,True,False,False,0.0119254732947933,positive,0.00220456204418566,True,0.0139726022223693,positive,0.00423421210556242,True,0.0119709036945148,positive,0.00233338776737888,True,False,preserved_significant,False,False,4.54303997214998e-05,outputs/tables/ame_bootstrap_results_retain.xlsx
Fragile -> Inundated,z_pct_black_nh,pct_black_nh,intersect,-0.0350964444542625,negative,1.58427819771212e-11,True,49,0,True,True,False,False,-0.0351705897822556,negative,1.27940955558876e-12,True,-0.0350964444542625,negative,1.58427819771212e-11,True,-0.0353717039255422,negative,7.442148465961e-13,True,False,preserved_significant,False,False,7.41453279931026e-05,outputs/tables/ame_bootstrap_results_intersect.xlsx
Fragile -> Inundated,z_pct_black_nh,pct_black_nh,approach,-0.0351705897822556,negative,1.27940955558876e-12,True,49,0,True,True,False,False,-0.0351705897822556,negative,1.27940955558876e-12,True,-0.0350964444542625,negative,1.58427819771212e-11,True,-0.0353717039255422,negative,7.442148465961e-13,True,False,reference_approach,False,False,0,outputs/tables/ame_bootstrap_results_approach.xlsx
Fragile -> Inundated,z_pct_black_nh,pct_black_nh,retain,-0.0353717039255422,negative,7.442148465961e-13,True,49,0,True,True,False,False,-0.0351705897822556,negative,1.27940955558876e-12,True,-0.0350964444542625,negative,1.58427819771212e-11,True,-0.0353717039255422,negative,7.442148465961e-13,True,False,preserved_significant,False,False,-0.0002011141432866,outputs/tables/ame_bootstrap_results_retain.xlsx
Fragile -> Inundated,z_pct_hispanic,pct_hispanic,intersect,-0.0420705671196537,negative,1.01880070476811e-13,True,49,0,True,True,False,False,-0.0431291031359325,negative,8.52219543995958e-17,True,-0.0420705671196537,negative,1.01880070476811e-13,True,-0.0435307213056495,negative,1.59698539337968e-16,True,False,preserved_significant,False,False,0.0010585360162788,outputs/tables/ame_bootstrap_results_intersect.xlsx
Fragile -> Inundated,z_pct_hispanic,pct_hispanic,approach,-0.0431291031359325,negative,8.52219543995958e-17,True,49,0,True,True,False,False,-0.0431291031359325,negative,8.52219543995958e-17,True,-0.0420705671196537,negative,1.01880070476811e-13,True,-0.0435307213056495,negative,1.59698539337968e-16,True,False,reference_approach,False,False,0,outputs/tables/ame_bootstrap_results_approach.xlsx
Fragile -> Inundated,z_pct_hispanic,pct_hispanic,retain,-0.0435307213056495,negative,1.59698539337968e-16,True,49,0,True,True,False,False,-0.0431291031359325,negative,8.52219543995958e-17,True,-0.0420705671196537,negative,1.01880070476811e-13,True,-0.0435307213056495,negative,1.59698539337968e-16,True,False,preserved_significant,False,False,-0.000401618169716997,outputs/tables/ame_bootstrap_results_retain.xlsx
Fragile -> Inundated,z_renter_share,renter_share,intersect,0.034441767795202,positive,5.45395938394567e-21,True,49,0,True,True,False,False,0.0340466100667462,positive,1.61873872878594e-20,True,0.034441767795202,positive,5.45395938394567e-21,True,0.0340266285395732,positive,1.96089166588203e-20,True,False,preserved_significant,False,False,0.000395157728455803,outputs/tables/ame_bootstrap_results_intersect.xlsx
