arm,transition,term,estimate_eligible,std.error_eligible,statistic_eligible,p.value_eligible,estimate_all_blocks,std.error_all_blocks,statistic_all_blocks,p.value_all_blocks,estimate_change_eligible_minus_all_blocks,estimate_pct_change,sign_eligible,sign_all_blocks,sign_flip,significant_eligible,significant_all_blocks,significance_changed
approach,Redundant -> Fragile,z_pct_black_nh,-0.4978465065237807,0.06758854349727797,-7.36584161698692,1.760327205143415e-13,-0.4982290300518381,0.06758928296294978,-7.371420559749847,1.6881935150079132e-13,3.825235280573991e-4,0.07677664386950707,negative,negative,FALSE,TRUE,TRUE,FALSE
approach,Redundant -> Fragile,z_pct_hispanic,-0.7832275228729841,0.07388937554178719,-10.600001923551782,2.979740966582627e-26,-0.784196665776343,0.07378934566800623,-10.627505348869857,2.2197056074806729e-26,9.691429033588106e-4,0.12358416525520083,negative,negative,FALSE,TRUE,TRUE,FALSE
approach,Redundant -> Fragile,z_renter_share,0.6164229821313576,0.05915380189975383,10.420682396306344,1.9951649161023675e-25,0.6157992907639734,0.05841558221469304,10.54169568148349,5.548924013723506e-26,6.236913673841604e-4,0.1012815988486112,positive,positive,FALSE,TRUE,TRUE,FALSE
approach,Redundant -> Fragile,z_log_median_income,0.1817839300052377,0.07244521357160072,2.5092607370889013,0.01209841453415392,0.18416358542265088,0.07246158323461804,2.5415341095482433,0.01103671767242066,-0.002379655417413168,-1.2921422071317288,positive,positive,FALSE,TRUE,TRUE,FALSE
approach,Redundant -> Fragile,z_pct_age_65plus,0.3152613200105417,0.0640052584027515,4.92555342916933,8.412192017106394e-7,0.313558554553839,0.06393485395060071,4.9043445816910785,9.373980761819792e-7,0.0017027654567026707,0.5430454478033704,positive,positive,FALSE,TRUE,TRUE,FALSE
approach,Redundant -> Fragile,z_no_vehicle_share,-0.05007637126190631,0.0523465210464557,-0.956632270126706,0.338752894895596,-0.04646321387007302,0.05190602630707042,-0.895141030353618,0.3707117029874571,-0.0036131573918332938,-7.776382843289561,negative,negative,FALSE,FALSE,FALSE,FALSE
approach,Redundant -> Isolated,z_pct_black_nh,-0.4699293723835255,0.05766087829627551,-8.149882316549446,3.642785971613167e-16,-0.4699572231860598,0.05766185968106792,-8.15022661054341,3.6324294417438663e-16,2.7850802534312713e-5,0.005926242040817906,negative,negative,FALSE,TRUE,TRUE,FALSE
approach,Redundant -> Isolated,z_pct_hispanic,-0.5904384377026696,0.0666055616715911,-8.864701728872381,7.67091451901965e-19,-0.593122370811812,0.06659745549185232,-8.906081567701575,5.286803581247727e-19,0.002683933109142389,0.45250916863393054,negative,negative,FALSE,TRUE,TRUE,FALSE
approach,Redundant -> Isolated,z_renter_share,0.35694387233884106,0.0526379274784262,6.781115622098447,1.192513880299149e-11,0.35563396479005704,0.05240913044778008,6.785725345021839,1.1550470674912751e-11,0.0013099075487840173,0.3683302717043072,positive,positive,FALSE,TRUE,TRUE,FALSE
approach,Redundant -> Isolated,z_log_median_income,0.132223998855937,0.06762750320332683,1.9551808449647512,0.05056172864341164,0.13292191489052096,0.06770215053072613,1.9633337175928456,0.04960741004534454,-6.979160345839674e-4,-0.5250571624391621,positive,positive,FALSE,FALSE,TRUE,TRUE
approach,Redundant -> Isolated,z_pct_age_65plus,0.2727401743534345,0.06003859441791557,4.542747494302574,5.552574686709582e-6,0.27104570276465795,0.05997458806258992,4.519342466876015,6.20319840436499e-6,0.0016944715887765582,0.6251608387415847,positive,positive,FALSE,TRUE,TRUE,FALSE
approach,Redundant -> Isolated,z_no_vehicle_share,-0.08139841431639402,0.04674294111086736,-1.7414054910094123,0.08161252639012048,-0.08014956666355512,0.04671944045012394,-1.7155506549595776,0.08624431659368237,-0.0012488476528389053,-1.558146481416686,negative,negative,FALSE,FALSE,FALSE,FALSE
approach,Redundant -> Inundated,z_pct_black_nh,-0.6633827275735256,0.07103710063216975,-9.338538899673322,9.767261330410774e-21,-0.6574659590366224,0.06992781732102281,-9.402066076484909,5.350199779765489e-21,-0.00591676853690315,-0.8999353435078107,negative,negative,FALSE,TRUE,TRUE,FALSE
approach,Redundant -> Inundated,z_pct_hispanic,-0.8032310670553547,0.08782923278526786,-9.14537269179113,5.942460403159927e-20,-0.7909022098453239,0.0855465597081109,-9.245283650726826,2.3461758587397598e-20,-0.012328857210030852,-1.5588345887214043,negative,negative,FALSE,TRUE,TRUE,FALSE
approach,Redundant -> Inundated,z_renter_share,0.5565658960677395,0.06046106165033909,9.205360952582913,3.405248080843821e-20,0.5544837818874023,0.06037818871740699,9.183511358424454,4.1725849233619873e-20,0.0020821141803372134,0.37550497387857296,positive,positive,FALSE,TRUE,TRUE,FALSE
approach,Redundant -> Inundated,z_log_median_income,0.05327409244540324,0.07026228340752856,0.7582174939634106,0.4483207900791875,0.0410560278787143,0.06889734772774352,0.5959014277436677,0.5512410793815037,0.01221806456668894,29.759490135730974,positive,positive,FALSE,FALSE,FALSE,FALSE
approach,Redundant -> Inundated,z_pct_age_65plus,0.22678396851260693,0.07494540892330613,3.0259888066616827,0.00247821476854424,0.2198966310200141,0.07358205050713969,2.9884547862481416,0.0028039198325163,0.006887337492592821,3.132079586961004,positive,positive,FALSE,TRUE,TRUE,FALSE
approach,Redundant -> Inundated,z_no_vehicle_share,0.0483802125940071,0.05574929030353701,0.8678175512296633,0.38549422021318097,0.03832226872139926,0.05538213860768127,0.6919607961127765,0.4889619491626921,0.01005794387260784,26.245690060075844,positive,positive,FALSE,FALSE,FALSE,FALSE
approach,Redundant -> Worse,z_pct_black_nh,-0.7026889212257724,0.06518551421172283,-10.779832447795622,4.2866586609182806e-27,-0.7003812819113889,0.06477214326075875,-10.813001494976076,2.987327140211655e-27,-0.0023076393143834917,-0.3294832934549285,negative,negative,FALSE,TRUE,TRUE,FALSE
approach,Redundant -> Worse,z_pct_hispanic,-0.8999805581216385,0.0804939335871645,-11.180725279714103,5.06741420254764e-29,-0.8940472666396398,0.07964478730419498,-11.225433539359196,3.0588253408800967e-29,-0.005933291481998615,-0.663644049189865,negative,negative,FALSE,TRUE,TRUE,FALSE
approach,Redundant -> Worse,z_renter_share,0.6146829979530907,0.05931330286200168,10.363324385816316,3.6408348781729447e-25,0.6136736513897518,0.0592476785536367,10.357767027685234,3.8586489855389948e-25,0.001009346563338842,0.16447611218976607,positive,positive,FALSE,TRUE,TRUE,FALSE
approach,Redundant -> Worse,z_log_median_income,0.12984428266508155,0.07357038477086825,1.7648987846057338,0.07758077800835445,0.1215139743980618,0.072930445947421485,1.666162503457968,0.09568105212207692,0.008330308267019748,6.855432314089975,positive,positive,FALSE,FALSE,FALSE,FALSE
approach,Redundant -> Worse,z_pct_age_65plus,0.31974990903698464,0.07064552448832921,4.526116995419971,6.00773286896635e-6,0.3134007553732719,0.07006178672053887,4.473205295539477,7.705573224524808e-6,0.006349153663712748,2.025889713045098,positive,positive,FALSE,TRUE,TRUE,FALSE
approach,Redundant -> Worse,z_no_vehicle_share,0.00181250093480223,0.05450750105634234,0.03325232123425942,0.9734733748558656,-0.00237597905771677,0.05444105022559625,-0.04364315250846639,0.9651888537214168,0.004188479992519,176.28438175477768,positive,negative,TRUE,FALSE,FALSE,FALSE
approach,Fragile -> Isolated,z_pct_black_nh,-0.6578838167157864,0.0727625083789518,-9.04152195096801,1.5450542853537708e-19,-0.6587832245250674,0.07289170169258666,-9.0378357100705191,1.598043142344889e-19,8.994078092809943e-4,0.1365256090012612,negative,negative,FALSE,TRUE,TRUE,FALSE
approach,Fragile -> Isolated,z_pct_hispanic,-0.7874752262168794,0.08368432249453953,-9.410068729041368,4.958125986111662e-21,-0.7876545377719874,0.08351375543224186,-9.431434782154463,4.045171833510146e-21,1.7931155510797492e-4,0.022765253865633488,negative,negative,FALSE,TRUE,TRUE,FALSE
approach,Fragile -> Isolated,z_renter_share,0.47682017056156634,0.05661166714340852,8.422648450781123,3.6806763603029406e-17,0.4803557629998487,0.05639737309491414,8.517342859062468,1.632556444440454e-17,-0.0035355924382823867,-0.7360362278579554,positive,positive,FALSE,TRUE,TRUE,FALSE
