slr_ft,n_blocks,eligible_population_pop20,n_new_fragile,n_new_isolated,n_new_inundated,pop20_new_fragile,pop20_new_isolated,pop20_new_inundated,n_baseline_redundant_to_fragile,n_baseline_redundant_to_isolated,n_baseline_redundant_to_inundated,n_any_loss_of_redundancy,n_new_adverse,non_inundation_pathway_share
1,68521,6135688,11,12,85,150,346,4853,11,10,22,43,108,0.21296296296296297
2,68521,6135688,214,341,249,12494,28411,17435,214,173,120,507,804,0.6902985074626866
3,68521,6135688,480,1146,1023,33977,156368,86305,480,668,616,1764,2649,0.6138165345413363
4,68521,6135688,780,2046,2601,54298,237017,251366,780,1227,1629,3636,5427,0.5207296849087893
5,68521,6135688,1364,3625,6009,87930,356087,575265,1364,2430,4034,7828,10998,0.4536279323513366
6,68521,6135688,1323,6861,13014,88320,651276,1326887,1323,5163,9213,15699,21198,0.38607415793942823
