arm,transition,term,estimate,std.error,statistic,p.value
retain,Redundant -> Fragile,z_pct_black_nh,-0.4995836247603824,0.06754705080528717,-7.396083453006628,1.402598770534549e-13
retain,Redundant -> Fragile,z_pct_hispanic,-0.7852774736248117,0.07381210335633485,-10.638871376335274,1.9649497437291025e-26
retain,Redundant -> Fragile,z_renter_share,0.6158864703216773,0.05898655767722851,10.441132599935349,1.6087966466449156e-25
retain,Redundant -> Fragile,z_log_median_income,0.181057081662005,0.07232161176034332,2.503498985365332,0.012297203298504701
retain,Redundant -> Fragile,z_pct_age_65plus,0.31502412468447305,0.06393586921814073,4.927189205947172,8.342096594183329e-7
retain,Redundant -> Fragile,z_no_vehicle_share,-0.04971201015978707,0.05229102322430822,-0.950679621367167,0.3417670361717619
retain,Redundant -> Isolated,z_pct_black_nh,-0.46907024107213446,0.057664022612004956,-8.134539004125592,4.1350883023913993e-16
retain,Redundant -> Isolated,z_pct_hispanic,-0.5893599889316776,0.0666154302560993,-8.847199315022301,8.974302731512834e-19
retain,Redundant -> Isolated,z_renter_share,0.35703889770296254,0.05266932706618319,6.778877149015305,1.2111345556034837e-11
retain,Redundant -> Isolated,z_log_median_income,0.13251725176271884,0.06765154995279492,1.958820630941717,0.05013379659113005
retain,Redundant -> Isolated,z_pct_age_65plus,0.27276147370012765,0.0600754996130757,4.54031136581276,5.617121411116409e-6
retain,Redundant -> Isolated,z_no_vehicle_share,-0.08160988892097136,0.04676312424411575,-1.7451761455232626,0.08095421221098277
retain,Redundant -> Inundated,z_pct_black_nh,-0.6633827275735256,0.07103710063216975,-9.338538899673322,9.767261330410774e-21
retain,Redundant -> Inundated,z_pct_hispanic,-0.8032310670553547,0.08782923278526786,-9.14537269179113,5.942460403159927e-20
retain,Redundant -> Inundated,z_renter_share,0.5565658960677395,0.06046106165033909,9.205360952582911,3.405248080843821e-20
retain,Redundant -> Inundated,z_log_median_income,0.05327409244540324,0.07026228340752856,0.7582174939634106,0.4483207900791875
retain,Redundant -> Inundated,z_pct_age_65plus,0.22678396851260693,0.07494540892330613,3.0259888066616827,0.002478214768544245
retain,Redundant -> Inundated,z_no_vehicle_share,0.0483802125940071,0.05574929030353701,0.8678175512296633,0.38549422021318097
retain,Redundant -> Worse,z_pct_black_nh,-0.7026889212257724,0.06518551421172283,-10.779832447795622,4.286658660918281e-27
retain,Redundant -> Worse,z_pct_hispanic,-0.8999805581216385,0.0804939335871645,-11.180725279714105,5.067414202547641e-29
retain,Redundant -> Worse,z_renter_share,0.6146829979530907,0.05931330286200168,10.363324385816316,3.6408348781729447e-25
retain,Redundant -> Worse,z_log_median_income,0.12984428266508155,0.07357038477086825,1.7648987846057338,0.07758077800835445
retain,Redundant -> Worse,z_pct_age_65plus,0.31974990903698464,0.07064552448832921,4.526116995419971,6.00773286896635e-6
retain,Redundant -> Worse,z_no_vehicle_share,0.0018125009348022303,0.05450750105634234,0.03325232123425942,0.9734733748558656
retain,Fragile -> Isolated,z_pct_black_nh,-0.6623504335568895,0.07294615203154442,-9.07999140613293,1.0858342519265514e-19
retain,Fragile -> Isolated,z_pct_hispanic,-0.7969231382872766,0.08416431282199008,-9.468658527193012,2.8346048496932738e-21
retain,Fragile -> Isolated,z_renter_share,0.4743478402756814,0.05665362170191979,8.372771696246339,5.627857342318829e-17
retain,Fragile -> Isolated,z_log_median_income,0.22923986867335136,0.07272291651437708,3.15223700672169,0.0016202470295693383
retain,Fragile -> Isolated,z_pct_age_65plus,0.29461271949241324,0.05956681544034164,4.945920263061213,7.578497781977389e-7
retain,Fragile -> Isolated,z_no_vehicle_share,-0.046532817977305935,0.050022502304750346,-0.9302377096974411,0.35224802126209737
retain,Fragile -> Inundated,z_pct_black_nh,-0.7013809113192281,0.10111297660025327,-6.93660630813109,4.0163104403323635e-12
retain,Fragile -> Inundated,z_pct_hispanic,-0.8631650045446682,0.1142754621007693,-7.553371377168619,4.241333586525313e-14
retain,Fragile -> Inundated,z_renter_share,0.6747095867439736,0.0755784598785818,8.927273562175083,4.366366993639002e-19
retain,Fragile -> Inundated,z_log_median_income,0.15054721706188434,0.09049445188245518,1.6636071486176052,0.09619096238807247
retain,Fragile -> Inundated,z_pct_age_65plus,0.2373694906950639,0.0816282325139369,2.9079337305819566,0.0036382542746285487
retain,Fragile -> Inundated,z_no_vehicle_share,-0.01758809611735071,0.07612161228404975,-0.23105259583467935,0.8172739417267656
retain,Fragile -> Worse,z_pct_black_nh,-0.8267374488911763,0.09409267300420218,-8.786416864299882,1.544058555672794e-18
retain,Fragile -> Worse,z_pct_hispanic,-1.0326388315530428,0.10886817767412392,-9.485221977757814,2.4186774066492522e-21
retain,Fragile -> Worse,z_renter_share,0.7124661385537551,0.07001395939896082,10.17605838421316,2.5362758089768496e-24
retain,Fragile -> Worse,z_log_median_income,0.22800794268551747,0.08827037369376753,2.5830630725155332,0.009792741847429743
retain,Fragile -> Worse,z_pct_age_65plus,0.30833758171585385,0.0742072633316376,4.155086279598683,3.251648167487823e-5
retain,Fragile -> Worse,z_no_vehicle_share,-0.0282251511903365,0.06708277042877679,-0.42075112595869524,0.6739368237412863
