arm,transition,term,estimate,std.error,statistic,p.value
intersect,Redundant -> Fragile,z_pct_black_nh,-0.44720492675356427,0.0640748993622526,-6.979408960523766,2.9642444112999165e-12
intersect,Redundant -> Fragile,z_pct_hispanic,-0.731133138154072,0.07628694554600274,-9.583987573774104,9.336884100124504e-22
intersect,Redundant -> Fragile,z_renter_share,0.5236980328281341,0.06313102079446103,8.29541525287806,1.0820654549355957e-16
intersect,Redundant -> Fragile,z_log_median_income,0.1120397229138582,0.07640843590647822,1.4663266115143578,0.14255932900840895
intersect,Redundant -> Fragile,z_pct_age_65plus,0.22734533507431492,0.0709522198305874,3.2042032739376913,0.0013543681672610408
intersect,Redundant -> Fragile,z_no_vehicle_share,-0.07709912282713252,0.053614129526968,-1.4380373887885567,0.15042344590798426
intersect,Redundant -> Isolated,z_pct_black_nh,-0.49149391073777754,0.06174882467053773,-7.959567058323046,1.7264228535083092e-15
intersect,Redundant -> Isolated,z_pct_hispanic,-0.5696918611157291,0.06556657260578765,-8.688754627162586,3.664341388786869e-18
intersect,Redundant -> Isolated,z_renter_share,0.34607626385618134,0.04834244083274631,7.158849613190309,8.13568749453746e-13
intersect,Redundant -> Isolated,z_log_median_income,0.07659628703949789,0.06222726220340722,1.230912052487887,0.21835575934148155
intersect,Redundant -> Isolated,z_pct_age_65plus,0.18967303168307104,0.0566306449654444,3.349300220733988,8.101595775724696e-4
intersect,Redundant -> Isolated,z_no_vehicle_share,-0.08842496705090715,0.04548821969122798,-1.9439091626608362,0.051906406136694824
intersect,Redundant -> Inundated,z_pct_black_nh,-0.6472471630588779,0.07187110089709964,-9.005666463709304,2.1435982642022886e-19
intersect,Redundant -> Inundated,z_pct_hispanic,-0.7761563638923127,0.08831203813525759,-8.788794600160417,1.5117316544154884e-18
intersect,Redundant -> Inundated,z_renter_share,0.5426470754038816,0.06141379403724534,8.835915186656354,9.928208296237613e-19
intersect,Redundant -> Inundated,z_log_median_income,0.015710296444929495,0.07156446124275602,0.21952651039512633,0.8262399311605714
intersect,Redundant -> Inundated,z_pct_age_65plus,0.1863745900832311,0.07809016722956943,2.3866588675028337,0.017002259587249546
intersect,Redundant -> Inundated,z_no_vehicle_share,0.03875371750340556,0.05618053640698384,0.689806826027173,0.4903156754690029
intersect,Redundant -> Worse,z_pct_black_nh,-0.6887309060949572,0.065537092563676,-10.509024418893539,7.850138922511796e-26
intersect,Redundant -> Worse,z_pct_hispanic,-0.8622068215228744,0.07895319421665184,-10.920480546447966,9.200770668704111e-28
intersect,Redundant -> Worse,z_renter_share,0.5809278177978291,0.058465941763600655,9.93617481005838,2.8974017193674206e-23
intersect,Redundant -> Worse,z_log_median_income,0.06969657163347329,0.07265098079978166,0.9593342149853364,0.33739040407883825
intersect,Redundant -> Worse,z_pct_age_65plus,0.23738707127364617,0.071114819530615,3.338081610000441,8.435896850155816e-4
intersect,Redundant -> Worse,z_no_vehicle_share,-0.015371496921689404,0.05387763779638335,-0.2853038394107406,0.7754113716221036
intersect,Fragile -> Isolated,z_pct_black_nh,-0.6247492194240484,0.07967312329975534,-7.841404899787164,4.4553328549018405e-15
intersect,Fragile -> Isolated,z_pct_hispanic,-0.7148079205183014,0.11499449425357049,-6.216018646441477,5.099274687036657e-10
intersect,Fragile -> Isolated,z_renter_share,0.552080165481347,0.07496537433831892,7.364468867851014,1.7785355238650126e-13
intersect,Fragile -> Isolated,z_log_median_income,0.19715940408195906,0.10444096017925274,1.8877593976881581,0.05905825826373221
intersect,Fragile -> Isolated,z_pct_age_65plus,0.4008169602745687,0.07526826811096506,5.325178462770792,1.008539710611532e-7
intersect,Fragile -> Isolated,z_no_vehicle_share,-0.12908720568848364,0.05714998745064143,-2.2587442525682446,0.02389929805115062
intersect,Fragile -> Inundated,z_pct_black_nh,-0.6983010918521726,0.09850412943532227,-7.089053990479419,1.350318430009366e-12
intersect,Fragile -> Inundated,z_pct_hispanic,-0.8370626544089103,0.11457403214932552,-7.305867121076422,2.7548431734752766e-13
intersect,Fragile -> Inundated,z_renter_share,0.6852752304200266,0.07545803433737007,9.081540970921486,1.0704837159763749e-19
intersect,Fragile -> Inundated,z_log_median_income,0.10066807565771788,0.09030876667537811,1.1147098932219626,0.26497476013194404
intersect,Fragile -> Inundated,z_pct_age_65plus,0.27800774531469263,0.07984068170176233,3.482031207513552,4.976256943152806e-4
intersect,Fragile -> Inundated,z_no_vehicle_share,-0.031743142212825814,0.07541411964675523,-0.42091775865730197,0.6738151370286045
intersect,Fragile -> Worse,z_pct_black_nh,-0.8020357108112465,0.09302509230698468,-8.621713678762204,6.5959463122833756e-18
intersect,Fragile -> Worse,z_pct_hispanic,-0.9664261738726507,0.11812364192101073,-8.18147966110713,2.8037942974906323e-16
intersect,Fragile -> Worse,z_renter_share,0.7552459322062707,0.07966492622281073,9.480281574528322,2.5359782987013115e-21
intersect,Fragile -> Worse,z_log_median_income,0.1787565332427397,0.10293409831237192,1.7366114453178678,0.0824557779345667
intersect,Fragile -> Worse,z_pct_age_65plus,0.3964318907485779,0.08211844578076982,4.827562029205048,1.3821464534394573e-6
intersect,Fragile -> Worse,z_no_vehicle_share,-0.07725917343545355,0.07086428377784644,-1.090241364431969,0.27560683664739594
