arm,transition,term,estimate,std.error,statistic,p.value
approach,Redundant -> Fragile,z_pct_black_nh,-0.4978465065237807,0.06758854349727797,-7.36584161698692,1.7603272051434147e-13
approach,Redundant -> Fragile,z_pct_hispanic,-0.7832275228729841,0.07388937554178719,-10.600001923551782,2.979740966582627e-26
approach,Redundant -> Fragile,z_renter_share,0.6164229821313576,0.05915380189975383,10.420682396306345,1.9951649161023675e-25
approach,Redundant -> Fragile,z_log_median_income,0.1817839300052377,0.07244521357160072,2.5092607370889013,0.012098414534153926
approach,Redundant -> Fragile,z_pct_age_65plus,0.3152613200105417,0.0640052584027515,4.92555342916933,8.412192017106394e-7
approach,Redundant -> Fragile,z_no_vehicle_share,-0.05007637126190631,0.0523465210464557,-0.956632270126706,0.338752894895596
approach,Redundant -> Isolated,z_pct_black_nh,-0.4699293723835255,0.05766087829627551,-8.149882316549446,3.642785971613167e-16
approach,Redundant -> Isolated,z_pct_hispanic,-0.5904384377026696,0.0666055616715911,-8.864701728872381,7.67091451901965e-19
approach,Redundant -> Isolated,z_renter_share,0.35694387233884106,0.0526379274784262,6.781115622098447,1.192513880299149e-11
approach,Redundant -> Isolated,z_log_median_income,0.132223998855937,0.06762750320332683,1.9551808449647514,0.05056172864341164
approach,Redundant -> Isolated,z_pct_age_65plus,0.2727401743534345,0.06003859441791557,4.542747494302574,5.552574686709582e-6
approach,Redundant -> Isolated,z_no_vehicle_share,-0.08139841431639402,0.04674294111086736,-1.7414054910094123,0.08161252639012048
approach,Redundant -> Inundated,z_pct_black_nh,-0.6633827275735256,0.07103710063216975,-9.338538899673322,9.767261330410774e-21
approach,Redundant -> Inundated,z_pct_hispanic,-0.8032310670553547,0.08782923278526786,-9.14537269179113,5.942460403159927e-20
approach,Redundant -> Inundated,z_renter_share,0.5565658960677395,0.06046106165033909,9.205360952582911,3.405248080843821e-20
approach,Redundant -> Inundated,z_log_median_income,0.05327409244540324,0.07026228340752856,0.7582174939634106,0.4483207900791875
approach,Redundant -> Inundated,z_pct_age_65plus,0.22678396851260693,0.07494540892330613,3.0259888066616827,0.002478214768544245
approach,Redundant -> Inundated,z_no_vehicle_share,0.0483802125940071,0.05574929030353701,0.8678175512296633,0.38549422021318097
approach,Redundant -> Worse,z_pct_black_nh,-0.7026889212257724,0.06518551421172283,-10.779832447795622,4.286658660918281e-27
approach,Redundant -> Worse,z_pct_hispanic,-0.8999805581216385,0.0804939335871645,-11.180725279714105,5.067414202547641e-29
approach,Redundant -> Worse,z_renter_share,0.6146829979530907,0.05931330286200168,10.363324385816316,3.6408348781729447e-25
approach,Redundant -> Worse,z_log_median_income,0.12984428266508155,0.07357038477086825,1.7648987846057338,0.07758077800835445
approach,Redundant -> Worse,z_pct_age_65plus,0.31974990903698464,0.07064552448832921,4.526116995419971,6.00773286896635e-6
approach,Redundant -> Worse,z_no_vehicle_share,0.0018125009348022303,0.05450750105634234,0.03325232123425942,0.9734733748558656
approach,Fragile -> Isolated,z_pct_black_nh,-0.6578838167157864,0.0727625083789518,-9.04152195096801,1.5450542853537708e-19
approach,Fragile -> Isolated,z_pct_hispanic,-0.7874752262168794,0.08368432249453953,-9.410068729041367,4.958125986111662e-21
approach,Fragile -> Isolated,z_renter_share,0.47682017056156634,0.05661166714340852,8.422648450781123,3.6806763603029406e-17
approach,Fragile -> Isolated,z_log_median_income,0.2322534082165366,0.07278946728288681,3.190755708019045,0.0014190120833173006
approach,Fragile -> Isolated,z_pct_age_65plus,0.29992381748350466,0.05937570315319597,5.05128868469427,4.388392420519484e-7
approach,Fragile -> Isolated,z_no_vehicle_share,-0.047390765018835344,0.05016866422518167,-0.9446287986884055,0.3448484190531745
approach,Fragile -> Inundated,z_pct_black_nh,-0.6986373567150037,0.10075203274635855,-6.934225917543627,4.084514708144676e-12
approach,Fragile -> Inundated,z_pct_hispanic,-0.856727248503449,0.11351530453527774,-7.547240013237152,4.445788372981627e-14
approach,Fragile -> Inundated,z_renter_share,0.6763103437588397,0.07565330096470607,8.939601248521242,3.9057715512211846e-19
approach,Fragile -> Inundated,z_log_median_income,0.14619582512127346,0.09054285871122196,1.6146588168543636,0.10638460065364722
approach,Fragile -> Inundated,z_pct_age_65plus,0.23689057235161867,0.0815795274409477,2.9037992714911804,0.0036866443953174465
approach,Fragile -> Inundated,z_no_vehicle_share,-0.01929672803662033,0.07613964670004408,-0.2534386337861633,0.7999292764533988
approach,Fragile -> Worse,z_pct_black_nh,-0.8214683374748724,0.09327866727652431,-8.806604569506039,1.2899376116428407e-18
approach,Fragile -> Worse,z_pct_hispanic,-1.021893718307198,0.10687505163059033,-9.561574031695779,1.1597915463728448e-21
approach,Fragile -> Worse,z_renter_share,0.7146284134354285,0.07002591877866222,10.205198673568631,1.8793613215553745e-24
approach,Fragile -> Worse,z_log_median_income,0.22641968167738413,0.0883973263858745,2.561386084110854,0.010425542531513775
approach,Fragile -> Worse,z_pct_age_65plus,0.3109913265312169,0.07398034860296315,4.203701826281482,2.625847996381311e-5
approach,Fragile -> Worse,z_no_vehicle_share,-0.029796944096707495,0.06719556982233107,-0.44343613984511654,0.6574503003964547
