arm,transition,term,estimate,std.error,statistic,p.value
approach,Redundant -> Fragile,z_pct_black_nh,-0.49822903005183805,0.06758928296294978,-7.371420559749847,1.6881935150079132e-13
approach,Redundant -> Fragile,z_pct_hispanic,-0.784196665776343,0.07378934566800623,-10.627505348869857,2.219705607480673e-26
approach,Redundant -> Fragile,z_renter_share,0.6157992907639734,0.05841558221469304,10.54169568148349,5.548924013723506e-26
approach,Redundant -> Fragile,z_log_median_income,0.18416358542265088,0.07246158323461804,2.5415341095482433,0.011036717672420662
approach,Redundant -> Fragile,z_pct_age_65plus,0.313558554553839,0.06393485395060071,4.9043445816910785,9.373980761819791e-7
approach,Redundant -> Fragile,z_no_vehicle_share,-0.04646321387007302,0.05190602630707042,-0.895141030353618,0.3707117029874571
approach,Redundant -> Isolated,z_pct_black_nh,-0.46995722318605987,0.05766185968106792,-8.15022661054341,3.6324294417438663e-16
approach,Redundant -> Isolated,z_pct_hispanic,-0.593122370811812,0.06659745549185232,-8.906081567701575,5.286803581247727e-19
approach,Redundant -> Isolated,z_renter_share,0.35563396479005704,0.05240913044778008,6.785725345021839,1.1550470674912751e-11
approach,Redundant -> Isolated,z_log_median_income,0.13292191489052096,0.06770215053072613,1.9633337175928454,0.04960741004534454
approach,Redundant -> Isolated,z_pct_age_65plus,0.27104570276465795,0.05997458806258992,4.519342466876015,6.20319840436499e-6
approach,Redundant -> Isolated,z_no_vehicle_share,-0.08014956666355512,0.046719440450123946,-1.7155506549595776,0.08624431659368237
approach,Redundant -> Inundated,z_pct_black_nh,-0.6574659590366224,0.06992781732102281,-9.402066076484909,5.350199779765489e-21
approach,Redundant -> Inundated,z_pct_hispanic,-0.7909022098453239,0.0855465597081109,-9.245283650726826,2.3461758587397598e-20
approach,Redundant -> Inundated,z_renter_share,0.5544837818874023,0.060378188717406994,9.183511358424454,4.1725849233619873e-20
approach,Redundant -> Inundated,z_log_median_income,0.041056027878714305,0.06889734772774352,0.5959014277436677,0.5512410793815037
approach,Redundant -> Inundated,z_pct_age_65plus,0.2198966310200141,0.07358205050713969,2.9884547862481416,0.002803919832516308
approach,Redundant -> Inundated,z_no_vehicle_share,0.038322268721399266,0.05538213860768127,0.6919607961127765,0.4889619491626921
approach,Redundant -> Worse,z_pct_black_nh,-0.7003812819113889,0.06477214326075875,-10.813001494976076,2.987327140211655e-27
approach,Redundant -> Worse,z_pct_hispanic,-0.8940472666396398,0.07964478730419498,-11.225433539359196,3.0588253408800967e-29
approach,Redundant -> Worse,z_renter_share,0.6136736513897518,0.059247678553636704,10.357767027685234,3.858648985538995e-25
approach,Redundant -> Worse,z_log_median_income,0.12151397439806179,0.072930445947421485,1.666162503457968,0.09568105212207693
approach,Redundant -> Worse,z_pct_age_65plus,0.3134007553732719,0.07006178672053887,4.473205295539477,7.705573224524808e-6
approach,Redundant -> Worse,z_no_vehicle_share,-0.002375979057716776,0.054441050225596255,-0.04364315250846639,0.9651888537214167
approach,Fragile -> Isolated,z_pct_black_nh,-0.6587832245250674,0.07289170169258666,-9.0378357100705191,1.598043142344889e-19
approach,Fragile -> Isolated,z_pct_hispanic,-0.7876545377719874,0.08351375543224186,-9.431434782154465,4.045171833510146e-21
approach,Fragile -> Isolated,z_renter_share,0.4803557629998487,0.05639737309491414,8.517342859062468,1.632556444440454e-17
approach,Fragile -> Isolated,z_log_median_income,0.23548317509994568,0.07284387293657942,3.232710804722946,0.0012262162749452925
approach,Fragile -> Isolated,z_pct_age_65plus,0.29826205590939936,0.0591868471462897,5.039330025000272,4.6716431422984513e-7
approach,Fragile -> Isolated,z_no_vehicle_share,-0.04564111441349493,0.04993030034332501,-0.9140965325596426,0.360666124352424
approach,Fragile -> Inundated,z_pct_black_nh,-0.6567658556018171,0.09918113602910708,-6.621882768201742,3.546522828697844e-11
approach,Fragile -> Inundated,z_pct_hispanic,-0.8514146335453832,0.11366629985805143,-7.4904754936920215,6.862453917647559e-14
approach,Fragile -> Inundated,z_renter_share,0.669334711907188,0.07723006497440135,8.666763547707042,4.445769047096748e-18
approach,Fragile -> Inundated,z_log_median_income,0.1354565043501389,0.0898733803470305,1.5071927174330937,0.13176126641242683
approach,Fragile -> Inundated,z_pct_age_65plus,0.2349994470045106,0.0810747080336664,2.898554342088123,0.0037488733734358654
approach,Fragile -> Inundated,z_no_vehicle_share,-0.04386617034608431,0.07771413669096894,-0.5644554802238695,0.5724441903635162
approach,Fragile -> Worse,z_pct_black_nh,-0.7904807734418767,0.09279384697138311,-8.518676606711377,1.6138679439417515e-17
approach,Fragile -> Worse,z_pct_hispanic,-1.017982333077816,0.10722358950354437,-9.494014682694107,2.223037292952275e-21
approach,Fragile -> Worse,z_renter_share,0.7137179654729834,0.07068827828112013,10.096694711315491,5.713552631553614e-24
approach,Fragile -> Worse,z_log_median_income,0.21865349080124738,0.08824778198683018,2.4777222257424953,0.013222403981071476
approach,Fragile -> Worse,z_pct_age_65plus,0.3080051391944485,0.07394257760299117,4.165463920505645,3.107200624936866e-5
approach,Fragile -> Worse,z_no_vehicle_share,-0.046680111566282406,0.06810577284496978,-0.6854060913829002,0.49308770127971757
