slr_ft,new_inundated_blocks,new_inundated_pop20,new_isolated_or_inundated_blocks,new_isolated_or_inundated_pop20,new_fragile_or_worse_blocks,new_fragile_or_worse_pop20,added_by_fragile_blocks,added_by_fragile_pop20,added_by_fragile_share_of_all_blocks,added_by_fragile_share_of_all_pop20
1,88,3477,98,3773,113,4258,15,485,0.13274336283185842,0.11390324095819633
2,261,12579,610,43013,764,52434,154,9421,0.20157068062827224,0.17967349429759316
3,1003,73696,2092,211705,2624,250128,532,38423,0.2027439024390244,0.153613349964818
4,2559,222497,4497,436790,5227,489422,730,52632,0.13965946049359096,0.10753909713907425
5,6012,541872,9494,855790,10796,938141,1302,82351,0.12060022230455725,0.08778104783822474
6,13062,1280163,19601,1851832,21004,1939769,1403,87937,0.06679680060940774,0.045333748503043406
