slr_ft,n_blocks,eligible_population_pop20,n_new_fragile,n_new_isolated,n_new_inundated,pop20_new_fragile,pop20_new_isolated,pop20_new_inundated,n_baseline_redundant_to_fragile,n_baseline_redundant_to_isolated,n_baseline_redundant_to_inundated,n_any_loss_of_redundancy,n_new_adverse,non_inundation_pathway_share
1,68521,6135688,5,13,85,56,614,4853,5,9,24,38,103,0.17475728155339806
2,68521,6135688,203,378,249,12988,34433,17435,203,215,134,552,830,0.7
3,68521,6135688,476,1203,1023,41683,151594,86305,476,748,674,1898,2702,0.6213915618060696
4,68521,6135688,732,1982,2601,58613,238730,251366,732,1261,1761,3754,5315,0.5106302916274694
5,68521,6135688,1214,3423,6009,82979,353658,575265,1214,2359,4234,7807,10646,0.435562652639489
6,68521,6135688,1377,6456,13014,90028,641821,1326887,1377,4898,9472,15747,20847,0.3757375161893798
